name,honor,class,LWHonor,standing,rank,rankProgress,RP
Nanaya,160122,MAGE,277664,269,8,0.94901966396719,34746
Urwel,157572,MAGE,288709,253,7,0.074509808328003,25373
Ryancheng,155428,WARRIOR,405944,156,11,0.14901961665601,45746
Zalcon,154805,PRIEST,97092,1455,8,0.5607843468897,32804
Mitchbade,154778,HUNTER,4813,0,3,0.72941180784255,8648
Xueye,154767,MAGE,165094,835,6,0.57254905346781,22863
Jimmyrucka,154584,ROGUE,296596,242,6,0.32156864646822,21608
Extim,154459,MAGE,255079,311,7,0.92549025081098,29628
Candyshop,154065,ROGUE,253006,317,5,0.67450984381139,18373
Lysandra,153697,WARLOCK,540911,96,9,0.070588239468634,35353
Juicin,152906,PALADIN,143799,992,10,0.82745102932677,44138
Spuho,150801,ROGUE,120949,1188,6,0.015686275437474,20079
Funkdoobiest,150727,PRIEST,192143,669,8,0.84705887362361,34236
Xmn,150073,WARRIOR,24134,2926,4,0.40392159251496,12020
Oomph,145973,WARRIOR,51040,2155,10,0.32156864646822,41608
Hakija,145708,MAGE,150454,938,5,0.78039220301434,18902
Soulrealm,145390,PRIEST,220011,468,6,0.36078433506191,21804
Lapa,145161,HUNTER,44741,2300,4,0.12156863464043,10608
Deathandtax,144440,PALADIN,288383,256,8,0.63529415521771,33177
Kristen,144352,PRIEST,146089,974,8,0.23921570042148,31197
Xentaruman,143706,MAGE,12738,3442,3,0.77254906529561,8863
Tracer,142885,HUNTER,600000,70,8,0.92156868195161,34608
Stavz,142230,MAGE,6505,3906,7,0.2745098201558,26373
Zidas,141186,MAGE,177763,744,4,0.55294120917097,12765
Secretive,141148,HUNTER,325663,213,9,0.24705883814022,36236
Uggrukor,141072,WARRIOR,200723,624,7,0.70980396354571,28550
Carayao,140162,ROGUE,252222,319,9,0.65882356837392,38295
Runrunning,140027,MAGE,94492,1498,5,0.6862745503895,18432
Fant,139877,HUNTER,210920,537,4,0.37647061049938,11883
Fireworld,138832,MAGE,237005,367,7,0.87058828677982,29353
Nno,138398,ROGUE,359210,188,10,0.3372549219057,41687
Tobold,136818,PRIEST,101375,1409,3,0.8352941670455,9177
Gankalot,135728,ROGUE,263258,294,9,0.43137257453054,37157
Strangebrew,135707,MAGE,11282,3545,10,0.16470589209348,40824
Oraakkeli,134941,MAGE,311127,224,7,0.023529413156211,25118
Evvo,134918,PALADIN,149256,952,6,0.10196079034358,20510
Alttair,134894,WARRIOR,263597,291,7,0.89019613107666,29451
Romantika,134814,WARLOCK,316256,221,9,0.50196081399918,37510
Vanqweef,134233,HUNTER,131793,1081,6,0.45882355654612,22295
Injoker,133791,WARLOCK,66537,1879,4,0.85882358020172,14295
Xunbao,133659,HUNTER,111476,1300,6,0.29411766445264,21471
Rainvi,132975,ROGUE,273368,274,9,0.21568628726527,36079
Shootfirst,131617,HUNTER,88940,1561,7,0.40784316137433,27040
Crunchytime,131172,DRUID,124322,1141,5,0.77647063415498,18883
Lickmycrit,127128,HUNTER,20503,3074,9,0.4117647302337,37059
