name,honor,class,LWHonor,standing,rank,rankProgress,RP
Johnnysalami,1024,PALADIN,134945,1246,4,0.20392158068717,11020
Spaghetii,9439,WARRIOR,144899,1124,5,0.48235296970233,17412
Shadowlurke,4368,HUNTER,100590,1721,4,0.30196080217138,11510
Linlin,16772,MAGE,239912,368,8,0.69411768810824,33471
Souslombre,9721,ROGUE,32705,3187,2,0.90196083765477,4706
Ls,4352,WARRIOR,234726,393,6,0.4862745385617,22432
Eot,7045,WARRIOR,21922,3584,5,0.15294118551537,15765
Bodu,2465,MAGE,29474,3296,4,0.87058828677982,14353
Xcabli,54638,WARRIOR,369644,187,9,0.50196081399918,37510
Dragonseven,234,MAGE,324,0,5,0.98823535256088,19942
Emmettc,130,WARRIOR,406733,159,9,0.78431377187371,38922
Yqyl,30706,HUNTER,270171,310,7,0.8862745622173,0
Zibe,1933,PALADIN,29707,3292,9,0.39607845479622,36981
Llamagedon,5288,HUNTER,38714,2983,4,0.070588239468634,10353
Alargis,699,DRUID,42834,2848,3,0.66666670609266,8334
Gorbik,11414,MAGE,442839,134,8,0.96862750826403,34844
Dnp,29625,DRUID,211167,548,6,0.24313726928085,21216
Talarion,687,MAGE,16437,3828,3,0.24705883814022,6236
Vorona,10842,WARRIOR,254175,337,9,0.65882356837392,38295
Lightwaver,20586,PRIEST,71970,2186,6,0.4235294368118,22118
Maitozo,945,WARRIOR,38360,2996,11,0.9607843705453,49804
Fooleck,1973,WARLOCK,244751,355,8,0.10980392806232,30550
Latios,10960,ROGUE,443,0,2,0.50588238285854,3518
Neq,3849,MAGE,38730,2982,2,0.50588238285854,3518
Shelly,4993,WARRIOR,441962,135,9,0.75294122099876,38765
Billybibbit,10909,MAGE,306914,248,9,0.44705884996802,37236
Cs,32803,WARRIOR,561726,83,11,0.33333335304633,46667
Bruteforge,7752,WARRIOR,319073,229,10,0.08235294604674,40412
Invinciblle,5220,WARRIOR,78679,2065,6,0.95686280168593,24785
Maek,8787,MAGE,126340,1353,3,0.53725493373349,7687
Sksanshao,14962,WARRIOR,287593,280,6,0.16078432323411,20804
Pandorawei,5726,ROGUE,67561,2262,5,0.05490196403116,15275
Parfum,12239,HUNTER,114297,1500,4,0.074509808328003,10373
Broxsis,32451,WARRIOR,440115,139,8,0.97647064598277,34883
Habihenliu,19420,WARRIOR,485139,113,6,0.77254906529561,23863
Runrunning,15254,MAGE,22392,3559,3,0.035294119734317,5177
Hartmann,2322,WARRIOR,18651,3721,5,0.94901966396719,19746
Dof,7184,WARRIOR,47025,2724,4,0.59215689776465,12961
Qes,11487,MAGE,77495,2090,6,0.68235298153013,23412
Tracer,24138,HUNTER,303358,261,6,0.21568628726527,21079
Werhent,11826,MAGE,143689,1146,6,0.99607849027961,24981
Skv,200,PRIEST,3979,4857,3,0.11372549692169,0
Dajiangjun,14933,WARRIOR,208417,573,4,0.62745101749897,13138
Zeelay,33297,PALADIN,234557,395,8,0.99215692142025,34961
Thefool,30482,WARRIOR,386562,180,6,0.23921570042148,21197
Sulfurryon,9581,DRUID,891998,13,13,0.066666670609266,55334
Redkillergg,10642,PALADIN,305039,254,8,0.094117652624846,30471
Thelittles,13914,PALADIN,160,7999,4,0.14509804779664,10726
Dipz,16398,ROGUE,188380,757,3,0.90588240651414,9530
Eth,17919,DRUID,324,0,1,0.67450984381139,0
Shel,27341,WARRIOR,48753,2680,4,0.67058827495202,13353
Isa,63259,WARRIOR,586318,76,10,0.90980397537351,44550
Himalayas,73303,ROGUE,891960,14,13,0.12549020349979,55628
Missjuicy,25777,WARLOCK,314063,238,8,0.90980397537351,34550
Alecbaldwin,342,MAGE,456,0,0,0,0
Babybear,247,MAGE,641,6768,4,0.30588237103075,11530
Tulz,1080,HUNTER,2292,5207,2,0.70980396354571,4130
Gromall,428,WARRIOR,0,0,0,0,0
Deceptikon,37979,ROGUE,305226,253,6,0.18039216753095,20902
Evilryui,5127,WARRIOR,204440,607,3,0.49803924513981,7491
Tierra,2175,MAGE,61704,2381,12,0.47058826312423,52353
Nensi,27475,MAGE,129885,1310,3,0.90196083765477,9510
Ahha,27491,HUNTER,139629,1190,4,0.49411767628044,12471
Uldyssian,225,MAGE,337,0,5,0.074509808328003,15373
Thunderfuryx,9247,MAGE,6771,4491,1,0.98431378370151,0
Samsi,8746,HUNTER,230517,422,6,0.78823534073308,23942
Hongjun,16122,PALADIN,149883,1081,6,0.39607845479622,21981
Destina,20601,WARRIOR,104135,1670,8,0.2745098201558,31373
Fanxingxing,22875,WARRIOR,383107,181,6,0.65882356837392,23295
Aiyouwc,559,ROGUE,4090,4839,2,0.4117647302337,3236
Xiaodoushi,14638,PALADIN,219504,486,6,0.45490198768675,22275
Cruxshadows,2497,PRIEST,32588,3189,6,0.0078431377187371,20040
Flashkiller,3299,HUNTER,27168,3374,3,0.51372552057728,7569
Alextrasza,216,WARRIOR,653,6733,4,0.8980392687954,14491
Peeylol,985,PALADIN,892412,8,14,0.08235294604674,60412
Dotsfearrip,3263,WARLOCK,97819,1766,4,0.0039215688593686,10020
Frostidamus,22291,MAGE,110710,1560,3,0.42745100567117,7138
Najia,632,HUNTER,169167,905,5,0.023529413156211,15118
Oomph,3992,WARRIOR,423815,149,11,0.015686275437474,45079
Shalaas,20678,HUNTER,251498,344,9,0.4745098319836,37373
Dodie,1879,MAGE,95035,1802,4,0.98431378370151,14922
Kolyamaestro,3062,MAGE,155755,1018,8,0.035294119734317,30177
Kraun,1036,MAGE,0,0,10,0.5490196403116,42746
Cmcc,13598,MAGE,306381,249,6,0.87450985563919,24373
Dishka,176,WARRIOR,183447,799,8,0.86666671792045,34334
Showtime,4714,HUNTER,102077,1703,5,0.34509805962443,16726
Jmartin,327,HUNTER,241,7837,3,0.35294119734317,6765
Gyration,9475,ROGUE,215514,517,9,0.94117652624846,39706
Yongfs,201,MAGE,86207,1945,3,0.49019610742107,7451
Jiaoaodezhu,1699,ROGUE,3359,4953,6,0.70588239468634,23530
Nepokorenniu,148,PALADIN,452,0,1,0.11764706578106,0
Mooni,4993,MAGE,144690,1130,4,0.7490196521394,13746
Diverazg,5790,HUNTER,20385,3640,4,0.60392160434276,13020
Jeanbon,8658,PRIEST,98686,1748,5,0.40392159251496,17020
Wutmaschine,10237,WARRIOR,32423,3193,3,0.38039217935875,6902
Jiaqiang,3627,HUNTER,125342,1365,5,0.61960787978023,18099
Huntosaurus,20967,HUNTER,387150,178,8,0.14509804779664,30726
Instrum,393,MAGE,58386,2464,2,0.80392161617056,4412
Twentysixx,32721,WARRIOR,558053,84,9,0.64705886179581,38236
Fkatwigs,9021,WARRIOR,122460,1398,4,0.83137259818614,14157
Sinergy,19185,PALADIN,24134,3493,3,0.50980395171791,7550
Yuxian,4073,PRIEST,30888,3258,3,0.11764706578106,5589
Pengnana,1136,PALADIN,9547,4238,2,0.050980395171791,2153
Superxiaohui,2043,HUNTER,200750,643,6,0.92549025081098,0
Ailsa,16367,PRIEST,220658,479,10,0.41960786795244,42099
Dasitzy,8164,HUNTER,160316,976,7,0.015686275437474,25079
Malek,266,WARRIOR,411,7359,1,0.36078433506191,0
Urgant,11588,PRIEST,175142,858,8,0.57254905346781,32863
Mitchbade,17814,HUNTER,1579,5541,1,0.8862745622173,0
Doomadius,6529,MAGE,58321,2467,3,0.81960785388947,9099
Tuzei,5596,WARRIOR,249597,349,7,0.55294120917097,27765
Desolate,45791,WARRIOR,429361,146,8,0.3372549219057,31687
Iheal,15628,PRIEST,109325,1581,4,0.73333337670192,13667
Banderas,231,ROGUE,7,0,2,0.22352942498401,2671
Lickmycrit,4877,HUNTER,104753,1662,9,0.57647062232718,37883
Corsai,740,WARRIOR,6,0,3,0.20392158068717,6020
Moonpaws,4303,DRUID,113682,1511,3,0.76470592757687,8824
Bolivar,11333,PALADIN,1330,5768,3,0.75294122099876,8765
Edwardteach,12605,WARRIOR,456235,126,10,0.047058826312423,40236
Taijun,10451,WARRIOR,64783,2321,5,0.30980393989012,16550
